year,compound_wavg,smooth,n
1900,-0.18175833333333336,-0.20532083333333334,12
1901,-0.22888333333333333,-0.14496944444444446,6
1902,-0.02426666666666666,-0.06793181818181816,6
1903,0.04935454545454547,0.040636700336700346,11
1904,0.09682222222222223,0.028612255892255897,9
1905,-0.06033999999999999,-0.10449683501683503,10
1906,-0.3499727272727273,-0.23591424242424242,11
1907,-0.29743,-0.2752875757575758,10
1908,-0.17845999999999998,-0.16727444444444442,10
1909,-0.025933333333333326,-0.07867185185185184,3
1910,-0.031622222222222225,-0.07073670033670033,18
1911,-0.15465454545454546,-0.19652558922558924,11
1912,-0.40330000000000005,-0.18236103896103897,6
1913,0.010871428571428563,-0.20136507936507939,7
1914,-0.21166666666666667,-0.20896507936507938,9
1915,-0.42610000000000003,-0.2603388888888889,5
1916,-0.14325,-0.2172166666666667,6
1917,-0.08229999999999998,-0.07528333333333333,4
1918,-0.0003000000000000086,0.29701869918699186,8
1919,0.9736560975609756,0.6350923067276946,10
1920,0.931920822622108,0.6518903459433808,19
1921,0.05009411764705882,0.3236136220650309,17
1922,-0.011174074074074069,-0.03949887436456064,27
1923,-0.15741666666666668,0.274591111983157,12
1924,0.9923640766902118,0.2914337520591304,15
1925,0.03935384615384617,0.6502988631702414,13
1926,0.9191786666666667,0.6283703262990697,31
1927,0.9265784660766962,0.6350569389846298,44
1928,0.05941368421052632,0.6312772633089541,95
1929,0.9078396396396398,0.645407787258947,91
1930,0.9689700379266749,0.9509672547268293,43
1931,0.9760920866141732,0.5979925472607425,51
1932,-0.1510844827586207,0.2373212012851842,58
1933,-0.11304399999999999,0.20688789933870946,75
1934,0.8847921807747491,0.18925908351406365,123
1935,-0.20397093023255813,0.1792993912063713,86
1936,-0.14292307692307693,-0.14035061676429664,104
1937,-0.0741578431372549,-0.07577889379240142,102
1938,-0.01025576131687243,-0.3296503212794595,147
1939,-0.9045373593842512,0.00653669824432009,140
1940,0.9344032154340838,-0.08018268118802228,129
1941,-0.2704138996138995,0.2025087193084825,86
1942,-0.05646315789473685,-0.15497638028065652,57
1943,-0.13805208333333333,-0.13451999269005846,48
1944,-0.20904473684210528,-0.11375414839181285,38
1945,0.005834374999999989,-0.06788678728070173,64
1946,-0.00045000000000000785,-0.015735890151515126,118
1947,-0.052592045454545475,0.2713585946676063,88
1948,0.8671178294573644,0.2202115428368883,71
1949,-0.15389115549215412,0.4510036155423604,105
1950,0.6397841726618707,0.4818488468712145,117
1951,0.9596535234439266,0.8152463449312943,121
1952,0.8463013386880855,0.4453111552452052,72
1953,-0.4700213963963965,0.011586903840819451,92
1954,-0.3415192307692308,-0.4324329868329868,104
1955,-0.4857583333333334,-0.3384792319660936,84
1956,-0.18816013179571664,-0.13754699811775983,120
1957,0.26127747077577046,-0.0935385751786917,161
1958,-0.35373306451612907,-0.17127022465142075,124
1959,-0.4213550802139038,-0.3163069371322331,187
1960,-0.17383266666666666,0.07906227021385119,150
1961,0.8323745575221239,-0.07130141764513072,121
1962,-0.8724461437908495,-0.06977458672725634,111
1963,-0.1692521739130435,-0.3891544535147062,115
1964,-0.12576504284022572,-0.16421499817701563,261
1965,-0.1976277777777778,-0.16113989542988172,90
1966,-0.1600268656716418,-0.19824430143966154,67
1967,-0.23707826086956524,-0.20623768244442872,115
1968,-0.22160792079207922,0.007210884139691065,101
1969,0.4803188340807175,0.044650105361183384,67
1970,-0.12476059720508828,-0.036714139519564114,164
1971,-0.4657006554343217,-0.31791817888783297,249
1972,-0.36329328402408917,-0.34494539620498116,350
1973,-0.2058422491565328,-0.3140293485300631,254
1974,-0.37295251240956734,-0.2889612678183014,175
1975,-0.28808904188880424,-0.24368317508321724,131
1976,-0.07000797095128015,-0.15552507444965377,131
1977,-0.10847821050887702,-0.09513209036769432,110
1978,-0.10691008964292593,-0.1710897474814995,75
